"Host Name","Cluster Name"
"slm02esx162.mud.internal.co.za","SLM-CDC-GOLD-04-WINDOWS-NEW"
"slm02esx160.mud.internal.co.za","SLM-CDC-GOLD-04-WINDOWS-NEW"
"slm02esx065.mud.internal.co.za","SLM-CDC-POC-SRM"
"slm02esx064.mud.internal.co.za","SLM-CDC-POC-SRM"
"stm01esx086.mud.internal.co.za","STM-BDC-GOLD-02-LINUX"
"stm01esx084.mud.internal.co.za","STM-BDC-GOLD-02-LINUX"
"stm01esx085.mud.internal.co.za","STM-BDC-GOLD-02-LINUX"
"slm01esx165.mud.internal.co.za","SLM-BDC-BRONZE-04-WINDOWS"
"stm02esx019.mud.internal.co.za","STM-CDC-HP-01-Database"
"stm02esx018.mud.internal.co.za","STM-CDC-HP-01-Database"
"stm02esx081.mud.internal.co.za","STM-CDC-GOLD-05-SQL"
"slm02esx093.mud.internal.co.za","SLM-CDC-GOLD-04-Windows-OLD"
"sky02esx111.mud.internal.co.za","SKY-CDC-GOLD-01-Shared"
"sky02esx183.mud.internal.co.za","SKY-CDC-GOLD-01-Shared"
"sky02esx184.mud.internal.co.za","SKY-CDC-GOLD-01-Shared"
"sky02esx185.mud.internal.co.za","SKY-CDC-GOLD-01-Shared"
"slm02esx125.mud.internal.co.za","SLM-CDC-GOLD-02-Physical"
"slm01ccc003.mud.internal.co.za","CCC-BDC1-GOLD-01-Shared_OLD"
"ccc01esx007.mud.internal.co.za","CCC-BDC1-BRONZE-01-Shared"
"ccc01esx008.mud.internal.co.za","CCC-BDC1-BRONZE-01-Shared"
"ccc01esx001.mud.internal.co.za","CCC-BDC1-GOLD-01-Shared"
"stm01esx014.mud.internal.co.za","STM-BDC-BRONZE-03-Physical"
"stm01esx062.mud.internal.co.za","STM-BDC-BRONZE-03-Physical"
"stm01esx064.mud.internal.co.za","STM-BDC-BRONZE-03-Physical"
"stm01esx076.mud.internal.co.za","STM-BDC-BRONZE-02-Physical"
"stm01esx077.mud.internal.co.za","STM-BDC-BRONZE-02-Physical"
"stm01esx008.mud.internal.co.za","STM-BDC-BRONZE-02-Physical"
"stm01esx024.mud.internal.co.za","STM-BDC-BRONZE-02-POC"
"stm01esx023.mud.internal.co.za","STM-BDC-BRONZE-02-POC"
"ccc04esx003.mud.internal.co.za","CCC-ALDC-GOLD-01-Shared"
"ccc04esx001.mud.internal.co.za","CCC-ALDC-GOLD-01-Shared"
"stmltesx001.mud.internal.co.za","STM-LTSR-GOLD-01-Shared"
"stmltesx002.mud.internal.co.za","STM-LTSR-GOLD-01-Shared"
"glc01esx002.mud.internal.co.za","GLC-BDC-GOLD-01-Shared"
"slm01esx073.mud.internal.co.za","SLM-BDC-HP-03-PM"
"slm01esx093.mud.internal.co.za","SLM-BDC-GOLD-04-Windows-OLD"
"slm01esx100.mud.internal.co.za","SLM-BDC-GOLD-02-Physical"
"slm01esx016.mud.internal.co.za","SLM-BDC-GOLD-02-Physical"
"slm01esx070.mud.internal.co.za","SLM-BDC-BRONZE-02-Physical"
"sky04esx003.mud.internal.co.za","SLM-SKYSR-GOLD-01-Shared"
"sky04esx004.mud.internal.co.za","SLM-SKYSR-GOLD-01-Shared"
